"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"90","@TMZ So did I. Got the flu last year, even with the flu shot. But it turned out I contracted a bacterial pneumococc… https://t.co/T5qzs12wWF",FALSE,1,"TMZ",2019-03-08 16:49:31,TRUE,"1104057197246394368","1104061596563718144","16331010","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DDdivine",1,FALSE,FALSE,NA,NA
"91","RT @AngusReid: What comes next as SNC “ he said, she said” winds down? The polls. The ones that I believe, including my own, put the CPC ab…",FALSE,0,NA,2019-03-08 16:48:34,FALSE,NA,"1104061357442260993",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Cdn_Eliana",74,TRUE,FALSE,NA,NA
"92","It's a bad day for our little family. Mike also has the flu and is home in bed while Emily is at the ER for breathi… https://t.co/I5oFU4KZ8c",FALSE,1,NA,2019-03-08 16:48:13,TRUE,NA,"1104061267751272448",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","angela256z",0,FALSE,FALSE,NA,NA
"93","RT @AngusReid: What comes next as SNC “ he said, she said” winds down? The polls. The ones that I believe, including my own, put the CPC ab…",FALSE,0,NA,2019-03-08 16:46:27,FALSE,NA,"1104060825197780995",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MattRossler",74,TRUE,FALSE,NA,NA
"94","RT @seanfeucht: “Children don’t do what we say, they do what we do.”

(Last night, my kids rallied to pray over my baby whose been perpetua…",FALSE,0,NA,2019-03-08 16:45:37,FALSE,NA,"1104060614341734400",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TrishKimani",526,TRUE,FALSE,NA,NA
"95","RT @seanfeucht: “Children don’t do what we say, they do what we do.”

(Last night, my kids rallied to pray over my baby whose been perpetua…",FALSE,0,NA,2019-03-08 16:44:31,FALSE,NA,"1104060335647064064",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","__dziiidzor_x",526,TRUE,FALSE,NA,NA
"96","RT @seanfeucht: “Children don’t do what we say, they do what we do.”

(Last night, my kids rallied to pray over my baby whose been perpetua…",FALSE,0,NA,2019-03-08 16:39:25,FALSE,NA,"1104059053112811522",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Zzzzwoke",526,TRUE,FALSE,NA,NA
"97","RT @seanfeucht: “Children don’t do what we say, they do what we do.”

(Last night, my kids rallied to pray over my baby whose been perpetua…",FALSE,0,NA,2019-03-08 16:36:45,FALSE,NA,"1104058383664070657",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FaithNoPhoney",526,TRUE,FALSE,NA,NA
"98","RT @seanfeucht: “Children don’t do what we say, they do what we do.”

(Last night, my kids rallied to pray over my baby whose been perpetua…",FALSE,0,NA,2019-03-08 16:36:26,FALSE,NA,"1104058302563078150",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","randy_nems",526,TRUE,FALSE,NA,NA
"99","RT @seanfeucht: “Children don’t do what we say, they do what we do.”

(Last night, my kids rallied to pray over my baby whose been perpetua…",FALSE,0,NA,2019-03-08 16:33:53,FALSE,NA,"1104057661589467136",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sandrachuku_",526,TRUE,FALSE,NA,NA
